transaction_id,batch_id,exporter,importer,port,country,volume,created_at,shipped_at,received_at,status,previous_hash,current_hash
"TX001","BATCH001","PERKEBUNAN NUSANTARA V","CARGILL","DUMAI","INDIA","110","01/01/2022","01/03/2022","01/10/2022","RECEIVED","0","f71b1a83cc3784c1c30c18166eac72d745d8bd0248b035ed1506249b33d58969"
"TX002","BATCH001","PERKEBUNAN NUSANTARA V","CARGILL","DUMAI","INDIA","95","01/04/2022","01/06/2022","1/13/2022","RECEIVED","f71b1a83cc3784c1c30c18166eac72d745d8bd0248b035ed1506249b33d58969","b16362068a07be54c352554c7b533f8e1955e601bc59c7b81c616695491a2ea1"
"TX003","BATCH001","PERKEBUNAN NUSANTARA V","CARGILL","DUMAI","INDIA","120","01/08/2022","01/10/2022","1/18/2022","RECEIVED","b16362068a07be54c352554c7b533f8e1955e601bc59c7b81c616695491a2ea1","bc5b4d2a5811643ffdf475b9ad475e44cfa2307dc4d10cde15395e1554cd5a54"
"TX004","BATCH001","PERKEBUNAN NUSANTARA V","CARGILL","DUMAI","INDIA","96.28","01/12/2022","1/14/2022","1/22/2022","RECEIVED","bc5b4d2a5811643ffdf475b9ad475e44cfa2307dc4d10cde15395e1554cd5a54","e387a17dab7c0ff122e04a2b64807434c4cf0adafcf2cd5ea87bc123527e9506"
"TX005","BATCH002","PERKEBUNAN NUSANTARA V","CARGILL","DUMAI","NETHERLANDS","130","1/15/2022","1/17/2022","1/25/2022","RECEIVED","e387a17dab7c0ff122e04a2b64807434c4cf0adafcf2cd5ea87bc123527e9506","af3b38349b98ed5721bcbebc18b0404678069f7bd5b4611eecf2cb8b6662d7bd"
"TX006","BATCH002","PERKEBUNAN NUSANTARA V","CARGILL","DUMAI","NETHERLANDS","90","1/18/2022","1/20/2022","1/28/2022","RECEIVED","af3b38349b98ed5721bcbebc18b0404678069f7bd5b4611eecf2cb8b6662d7bd","eb41d32c75a0087ac5f6b11437c450c7de2ac586e4ac488de4b4a8efd5c8999c"
"TX007","BATCH002","PERKEBUNAN NUSANTARA V","CARGILL","DUMAI","NETHERLANDS","140","1/22/2022","1/24/2022","02/02/2022","RECEIVED","eb41d32c75a0087ac5f6b11437c450c7de2ac586e4ac488de4b4a8efd5c8999c","b8f2f351bec4ff7c79b2306d574fcb6cd58ae0d00fdc82eadfaa1ff09061468f"
"TX008","BATCH002","PERKEBUNAN NUSANTARA V","CARGILL","DUMAI","NETHERLANDS","110","1/25/2022","1/27/2022","02/05/2022","RECEIVED","b8f2f351bec4ff7c79b2306d574fcb6cd58ae0d00fdc82eadfaa1ff09061468f","6fa9f288cb9862834c18388d9e511f9b8c0a0df82e8976d049d539175a0ec467"
"TX009","BATCH002","PERKEBUNAN NUSANTARA V","CARGILL","DUMAI","NETHERLANDS","131.81","1/28/2022","1/30/2022","02/08/2022","RECEIVED","6fa9f288cb9862834c18388d9e511f9b8c0a0df82e8976d049d539175a0ec467","66b69deb912f347e371f0646edefa3d276960791dc2c7b6c1af282911962bb01"
"TX010","BATCH003","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","GERMANY","1.5","02/01/2022","02/02/2022","02/10/2022","RECEIVED","66b69deb912f347e371f0646edefa3d276960791dc2c7b6c1af282911962bb01","8fd58dcb853f28ef5fde85b8dc1e4f5199b9091f501fb5be1ac6bf11f5f9983a"
"TX011","BATCH003","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","GERMANY","2.07","02/03/2022","02/04/2022","02/12/2022","RECEIVED","8fd58dcb853f28ef5fde85b8dc1e4f5199b9091f501fb5be1ac6bf11f5f9983a","07340b6b0e382218c003a11ea8456e7a4d14bd42436f5b8e4611371e72227ef0"
"TX012","BATCH004","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","INDIA","3","02/05/2022","02/07/2022","2/15/2022","RECEIVED","07340b6b0e382218c003a11ea8456e7a4d14bd42436f5b8e4611371e72227ef0","e442b7494d0eea8a91d91337be141c4b138a1ccb0f2b3cfcae0946cbe760df4f"
"TX013","BATCH004","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","INDIA","3.24","02/08/2022","02/10/2022","2/18/2022","RECEIVED","e442b7494d0eea8a91d91337be141c4b138a1ccb0f2b3cfcae0946cbe760df4f","f504ce458b53e7cbf66bc415f76c21654ce69421a1847c8cf3eb2e6dfdb732f7"
"TX014","BATCH005","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","ITALY","7","02/10/2022","02/12/2022","2/20/2022","RECEIVED","f504ce458b53e7cbf66bc415f76c21654ce69421a1847c8cf3eb2e6dfdb732f7","e88783ca6122020c14f28627ab8ea919b424933eb4d06e9c0592c2c70c19e6e4"
"TX015","BATCH005","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","ITALY","7.27","2/13/2022","2/15/2022","2/23/2022","RECEIVED","e88783ca6122020c14f28627ab8ea919b424933eb4d06e9c0592c2c70c19e6e4","f5cb87bb714ca9bdb1d8ea691b839d68f4496be6bb627ed565f898ab8aa4a11f"
"TX016","BATCH006","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","NETHERLANDS","2","2/15/2022","2/17/2022","2/25/2022","RECEIVED","f5cb87bb714ca9bdb1d8ea691b839d68f4496be6bb627ed565f898ab8aa4a11f","9e1b4f7c5a18b1d9ee4c15ac0513aa7476c8818b4535a30f8295d18b6e1f9d3a"
"TX017","BATCH006","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","NETHERLANDS","2.01","2/18/2022","2/20/2022","2/28/2022","RECEIVED","9e1b4f7c5a18b1d9ee4c15ac0513aa7476c8818b4535a30f8295d18b6e1f9d3a","b2c345f0c23d41b178e1c64b6ea441a00998299882717d7cf805bc3c0a003c19"
"TX018","BATCH007","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","GERMANY","2.5","2/20/2022","2/22/2022","03/01/2022","RECEIVED","b2c345f0c23d41b178e1c64b6ea441a00998299882717d7cf805bc3c0a003c19","976ca253ebceb2c86f2ebc217f2b8573a527b8a9e00be29e345db0667550a6c1"
"TX019","BATCH007","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","GERMANY","2.95","2/23/2022","2/25/2022","03/05/2022","RECEIVED","976ca253ebceb2c86f2ebc217f2b8573a527b8a9e00be29e345db0667550a6c1","a91517c42604a79485792920edcdc8f8d37dc5f70c760013839d8d7ca333307b"
"TX020","BATCH008","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","INDIA","4","2/25/2022","2/27/2022","03/07/2022","RECEIVED","a91517c42604a79485792920edcdc8f8d37dc5f70c760013839d8d7ca333307b","e033bdf6d99b25f57535b43c7a1de776a17ce3c6524f64f0f25ce822c61af537"
"TX021","BATCH008","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","INDIA","5.54","03/01/2022","03/03/2022","03/12/2022","RECEIVED","e033bdf6d99b25f57535b43c7a1de776a17ce3c6524f64f0f25ce822c61af537","a8b6a9b3ab06a78504c0e1b0f70e84fa26b834b97ac6726df684853d2fd186bb"
"TX022","BATCH009","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","ITALY","10","03/05/2022","03/07/2022","3/15/2022","RECEIVED","a8b6a9b3ab06a78504c0e1b0f70e84fa26b834b97ac6726df684853d2fd186bb","d4c35db45e7804fb07ea14a807ff4a29f3a4a80970870c7bbf8fba0798565486"
"TX023","BATCH009","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","ITALY","11.82","03/08/2022","03/10/2022","3/18/2022","RECEIVED","d4c35db45e7804fb07ea14a807ff4a29f3a4a80970870c7bbf8fba0798565486","c7458859066487a4ad49fed81a2ac28bb9c6aa2fe89918a47b697cb5dcc282e4"
"TX024","BATCH010","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","NETHERLANDS","3","03/10/2022","03/12/2022","3/20/2022","RECEIVED","c7458859066487a4ad49fed81a2ac28bb9c6aa2fe89918a47b697cb5dcc282e4","4a220283b7130ba090768f196acc142117ddd718b13b30c2e5e6c759b7ec33e1"
"TX025","BATCH010","PERKEBUNAN NUSANTARA III","CARGILL","DUMAI","NETHERLANDS","3.14","3/13/2022","3/15/2022","3/22/2022","RECEIVED","4a220283b7130ba090768f196acc142117ddd718b13b30c2e5e6c759b7ec33e1","1c5c782336e964510397502b1dde725238ec82cff5ca8daf22f7a0b15c826baf"
