transaction_id,batch_id,exporter,importer,port,country,volume,created_at,shipped_at,received_at,status,previous_hash,current_hash
"TX001","BATCH001","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","82.35","01/01/2021","01/03/2021","01/10/2021","RECEIVED","0","bfeafd0094dbfdc116b6470805925b32caac45a604de40516fbaf3edb1b3d9cb"
"TX002","BATCH001","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","74.57","01/02/2021","01/04/2021","01/11/2021","RECEIVED","bfeafd0094dbfdc116b6470805925b32caac45a604de40516fbaf3edb1b3d9cb","65a0f9f78ebf95ee70f77a98dec56b54505720df0cb4d8c2f378a776c54574d3"
"TX003","BATCH001","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","68.91","01/03/2021","01/05/2021","01/12/2021","RECEIVED","65a0f9f78ebf95ee70f77a98dec56b54505720df0cb4d8c2f378a776c54574d3","08bba4bb223f1f06332e944adbbf2004e621da7e0b344f4ff87dbe1e9b245ff1"
"TX004","BATCH001","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","60.23","01/04/2021","01/06/2021","1/13/2021","RECEIVED","08bba4bb223f1f06332e944adbbf2004e621da7e0b344f4ff87dbe1e9b245ff1","3a6935519e86ae295fdf9a137e85fbdd567f845e933e95230970a93acae30ce7"
"TX005","BATCH001","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","52.68","01/05/2021","01/07/2021","1/14/2021","RECEIVED","3a6935519e86ae295fdf9a137e85fbdd567f845e933e95230970a93acae30ce7","08a928522f61bae7ce88dc0044249672944805f86e8ca858ac014cd2066fa201"
"TX006","BATCH001","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","46.12","01/06/2021","01/08/2021","1/15/2021","RECEIVED","08a928522f61bae7ce88dc0044249672944805f86e8ca858ac014cd2066fa201","43e855caee7fa404087c04a0e63b869b9979e19e32e01db674efa5e6ba57f644"
"TX007","BATCH001","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","38.79","01/07/2021","01/09/2021","1/16/2021","RECEIVED","43e855caee7fa404087c04a0e63b869b9979e19e32e01db674efa5e6ba57f644","a7e262ebd398786e60bc6957624fad7093e624c1b10267974dda2fdc3108094f"
"TX008","BATCH001","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","30.46","01/08/2021","01/10/2021","1/17/2021","RECEIVED","a7e262ebd398786e60bc6957624fad7093e624c1b10267974dda2fdc3108094f","c54093f8a4225e265b5e2c368d50e09ee4406fcc503bd0c2bf9254a530d0b63e"
"TX009","BATCH001","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","22.99","01/09/2021","01/11/2021","1/18/2021","RECEIVED","c54093f8a4225e265b5e2c368d50e09ee4406fcc503bd0c2bf9254a530d0b63e","a2df5499f011d3a5f3aeb41cd1a564e2a8928e13ec07260eee4b9d6e61d62426"
"TX010","BATCH001","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","13.18","01/10/2021","01/12/2021","1/19/2021","RECEIVED","a2df5499f011d3a5f3aeb41cd1a564e2a8928e13ec07260eee4b9d6e61d62426","4ab004c7b45b40f70181bbcbc2f1a895f7ea85252f4d3ce6a819f1ff93e947c5"
"TX011","BATCH002","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","13","02/01/2021","02/03/2021","02/10/2021","RECEIVED","4ab004c7b45b40f70181bbcbc2f1a895f7ea85252f4d3ce6a819f1ff93e947c5","c4c85a0103be723f67ec8d41d563dc61935258499d161f4eaa7162d96d4f9d92"
"TX012","BATCH002","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","11.33","02/02/2021","02/04/2021","02/11/2021","RECEIVED","c4c85a0103be723f67ec8d41d563dc61935258499d161f4eaa7162d96d4f9d92","8a0c719ce010a5b1fd9c165e96d3ed555bc36aae312426d3526abcead81dd2b0"
"TX013","BATCH002","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","10.99","02/03/2021","02/05/2021","02/12/2021","RECEIVED","8a0c719ce010a5b1fd9c165e96d3ed555bc36aae312426d3526abcead81dd2b0","99d5191dfda33c0675dd85f95a6d96c0cbc466f3467c5b6812c466a0ab254675"
"TX014","BATCH002","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","10.22","02/04/2021","02/06/2021","2/13/2021","RECEIVED","99d5191dfda33c0675dd85f95a6d96c0cbc466f3467c5b6812c466a0ab254675","51dd2ffa7c23fbbbdab064c5dcbe2aac5faff2c44df3681047098fafb86cacb6"
"TX015","BATCH002","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","9.78","02/05/2021","02/07/2021","2/14/2021","RECEIVED","51dd2ffa7c23fbbbdab064c5dcbe2aac5faff2c44df3681047098fafb86cacb6","d50af8b8129d8c41691d1e1a8b26c1b8a2899d294234499a7611b8e05896fb99"
"TX016","BATCH002","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","9.44","02/06/2021","02/08/2021","2/15/2021","RECEIVED","d50af8b8129d8c41691d1e1a8b26c1b8a2899d294234499a7611b8e05896fb99","55e834a3a68510958d27b98c826a9625d6d44427a778052bd466e025beb3e254"
"TX017","BATCH002","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","8.99","02/07/2021","02/09/2021","2/16/2021","RECEIVED","55e834a3a68510958d27b98c826a9625d6d44427a778052bd466e025beb3e254","148bc323581bb5f67de074b1de687ecbb2eab6b61c17075ee75441c0e52da6df"
"TX018","BATCH002","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","7.89","02/08/2021","02/10/2021","2/17/2021","RECEIVED","148bc323581bb5f67de074b1de687ecbb2eab6b61c17075ee75441c0e52da6df","b378caf63b48e980b480335650ca859a7c4915410544bd7d26791351ed3fed7f"
"TX019","BATCH002","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","6.21","02/09/2021","02/11/2021","2/18/2021","RECEIVED","b378caf63b48e980b480335650ca859a7c4915410544bd7d26791351ed3fed7f","f576311e22c90f85b9804da6bf9781aece4f6af4b7d41d5e4cd26bcb4fc22975"
"TX020","BATCH002","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","4.11","02/10/2021","02/12/2021","2/19/2021","RECEIVED","f576311e22c90f85b9804da6bf9781aece4f6af4b7d41d5e4cd26bcb4fc22975","6cd08d97d9ca659721befbbcf11d6b9086d6b9faf919877e2dce043954f568f9"
"TX021","BATCH003","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","11","03/01/2021","03/03/2021","03/10/2021","RECEIVED","6cd08d97d9ca659721befbbcf11d6b9086d6b9faf919877e2dce043954f568f9","053240d9bc03ffffa0d528885f44ea82e683f0660d97f5e9e8f4f39775c51636"
"TX022","BATCH003","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","9.19","03/02/2021","03/04/2021","03/11/2021","RECEIVED","053240d9bc03ffffa0d528885f44ea82e683f0660d97f5e9e8f4f39775c51636","59654b5071a27972d3d2a54d8a69f7de35db3f16658b76c2d0ff728dd4c6554b"
"TX023","BATCH003","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","9.11","03/03/2021","03/05/2021","03/12/2021","RECEIVED","59654b5071a27972d3d2a54d8a69f7de35db3f16658b76c2d0ff728dd4c6554b","56591931cec937b1d376d9ada7c4a0fe2be572048e93a3122e3a558f0cd1a26e"
"TX024","BATCH003","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","8.78","03/04/2021","03/06/2021","3/13/2021","RECEIVED","56591931cec937b1d376d9ada7c4a0fe2be572048e93a3122e3a558f0cd1a26e","15036192e667827186f3f789b5ed8de14e5755b9963bf1c39a81e878ce1a97da"
"TX025","BATCH003","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","8.33","03/05/2021","03/07/2021","3/14/2021","RECEIVED","15036192e667827186f3f789b5ed8de14e5755b9963bf1c39a81e878ce1a97da","c2044bb8c1a2ecd160e1ecf5c9ef876d2bedab7d5c2ea01dda5f0f303a176e49"
"TX026","BATCH003","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","7.11","03/06/2021","03/08/2021","3/15/2021","RECEIVED","c2044bb8c1a2ecd160e1ecf5c9ef876d2bedab7d5c2ea01dda5f0f303a176e49","46319ef49256b4643c6c13e0ed192b3aae4938d3982a136fabcd8ff4cd8ef065"
"TX027","BATCH003","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","6.89","03/07/2021","03/09/2021","3/16/2021","RECEIVED","46319ef49256b4643c6c13e0ed192b3aae4938d3982a136fabcd8ff4cd8ef065","74182c2f30895a6f2023b8cadbb8515a74e531074c84ad3945695f8a4f21b7b2"
"TX028","BATCH003","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","6.12","03/08/2021","03/10/2021","3/17/2021","RECEIVED","74182c2f30895a6f2023b8cadbb8515a74e531074c84ad3945695f8a4f21b7b2","c1ba3217cec15581c1765316615b00239ca9332ee82c6fed8a91e0d5f35e9e15"
"TX029","BATCH003","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","6","03/09/2021","03/11/2021","3/18/2021","RECEIVED","c1ba3217cec15581c1765316615b00239ca9332ee82c6fed8a91e0d5f35e9e15","84b2ae159bb6c420f3fe6d38788c37cba949a68f0e4fc07990ae9d10dc64759f"
"TX030","BATCH003","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","5.67","03/10/2021","03/12/2021","3/19/2021","RECEIVED","84b2ae159bb6c420f3fe6d38788c37cba949a68f0e4fc07990ae9d10dc64759f","b1232991dd5b2e1746192b612f36213611ece687c922d920bc863adfe46ec1c7"
"TX031","BATCH004","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","2","04/01/2021","04/03/2021","04/10/2021","RECEIVED","b1232991dd5b2e1746192b612f36213611ece687c922d920bc863adfe46ec1c7","749aa33d23e7a30145c06b07e45fd2bb4f5c56b02b08369d24e7624afd5d2614"
"TX032","BATCH004","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","1.89","04/02/2021","04/04/2021","04/11/2021","RECEIVED","749aa33d23e7a30145c06b07e45fd2bb4f5c56b02b08369d24e7624afd5d2614","419266d670ad8993bc9c9dd5a6ae4a441269bd8e74b11f5d0721b1d06663556a"
"TX033","BATCH004","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","1.78","04/03/2021","04/05/2021","04/12/2021","RECEIVED","419266d670ad8993bc9c9dd5a6ae4a441269bd8e74b11f5d0721b1d06663556a","9d23adb90b67f09513bb7724d610cda6b6fa5f85629de9147071c712068a3950"
"TX034","BATCH004","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","1.67","04/04/2021","04/06/2021","4/13/2021","RECEIVED","9d23adb90b67f09513bb7724d610cda6b6fa5f85629de9147071c712068a3950","3c19d5a54fcdce1d24655b2e2bd581f19b663c78595cca35a4a12b0c7d2d012a"
"TX035","BATCH004","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","1.56","04/05/2021","04/07/2021","4/14/2021","RECEIVED","3c19d5a54fcdce1d24655b2e2bd581f19b663c78595cca35a4a12b0c7d2d012a","812ee2c831b1f57439480b02d3f2615bc8fb189ab3f6ee820100e163eb42e13a"
"TX036","BATCH004","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","1.45","04/06/2021","04/08/2021","4/15/2021","RECEIVED","812ee2c831b1f57439480b02d3f2615bc8fb189ab3f6ee820100e163eb42e13a","9d5dc81a9025e3af0b18e42318377cf5c203af7890431d83a7ca30e9b02e1302"
"TX037","BATCH004","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","1.33","04/07/2021","04/09/2021","4/16/2021","RECEIVED","9d5dc81a9025e3af0b18e42318377cf5c203af7890431d83a7ca30e9b02e1302","ea12900019aa92fe58f0298df6180cc2ed02c3dad0cddc15eeb97c5cfe8220c3"
"TX038","BATCH004","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","1.22","04/08/2021","04/10/2021","4/17/2021","RECEIVED","ea12900019aa92fe58f0298df6180cc2ed02c3dad0cddc15eeb97c5cfe8220c3","7823484f8e5e274a098a811544cdb7a567b65491cbb692d2ef330773166d5fc9"
"TX039","BATCH004","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","1.11","04/09/2021","04/11/2021","4/18/2021","RECEIVED","7823484f8e5e274a098a811544cdb7a567b65491cbb692d2ef330773166d5fc9","227b1c029a97d93f1590cc779c891fea83535a85359a2090ffa4ffd988e8e394"
"TX040","BATCH004","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","0.44","04/10/2021","04/12/2021","4/19/2021","RECEIVED","227b1c029a97d93f1590cc779c891fea83535a85359a2090ffa4ffd988e8e394","8f7667ad63a6867d895f36b8d3c3766708f44a3b412f79e475772c2bbd54c2f2"
"TX041","BATCH005","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","120.78","05/01/2021","05/03/2021","05/10/2021","RECEIVED","8f7667ad63a6867d895f36b8d3c3766708f44a3b412f79e475772c2bbd54c2f2","1dd89a73929d6cfc23e97e2f4fedc973a052399478e6c3b48b2b333273d70d35"
"TX042","BATCH005","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","110.67","05/02/2021","05/04/2021","05/11/2021","RECEIVED","1dd89a73929d6cfc23e97e2f4fedc973a052399478e6c3b48b2b333273d70d35","b53d7d9c40259b62c5f1ea15b54e46318351efd31c5287a465b309be8e2ab464"
"TX043","BATCH005","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","104.12","05/03/2021","05/05/2021","05/12/2021","RECEIVED","b53d7d9c40259b62c5f1ea15b54e46318351efd31c5287a465b309be8e2ab464","ba6dd6a15f5c0e852d8fa63d467ffbaa0f7d2d6edb411f87cc471afe9cd47fde"
"TX044","BATCH005","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","95.89","05/04/2021","05/06/2021","5/13/2021","RECEIVED","ba6dd6a15f5c0e852d8fa63d467ffbaa0f7d2d6edb411f87cc471afe9cd47fde","9773d13651ea5319604c443344037bac70902faf815aea6e200e4c08e01bc82f"
"TX045","BATCH005","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","92.56","05/05/2021","05/07/2021","5/14/2021","RECEIVED","9773d13651ea5319604c443344037bac70902faf815aea6e200e4c08e01bc82f","58545fa61976443274624998a119042365bedd2abc1fd12f9251b5fdb129ddf9"
"TX046","BATCH005","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","88.33","05/06/2021","05/08/2021","5/15/2021","RECEIVED","58545fa61976443274624998a119042365bedd2abc1fd12f9251b5fdb129ddf9","5cb5f7000de4e72136f9473dbcf0eada418f3db1e732f7021baee4dcb010d566"
"TX047","BATCH005","KARYAINDAH ALAM SEJAHTERA","GIDEON AGRI","GRESIK","INDIA","81","05/07/2021","05/09/2021","5/16/2021","RECEIVED","5cb5f7000de4e72136f9473dbcf0eada418f3db1e732f7021baee4dcb010d566","61d72d69785c85cc8b11ec7bb5fbc27c18902abb33bcbf6d4f440b4ccb4b09bb"
