transaction_id,exporter,importer,port,country,volume,created_at,shipped_at,received_at,status,previous_hash,current_hash
TX001,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,341.7458125,1/1/2020,1/3/2020,1/10/2020,RECEIVED,,
TX002,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,115.8298132,1/3/2020,1/5/2020,1/12/2020,RECEIVED,,
TX003,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,134.0179657,1/5/2020,1/7/2020,1/14/2020,RECEIVED,,
TX004,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,283.3522703,1/7/2020,1/9/2020,1/16/2020,RECEIVED,,
TX005,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,67.00898285,1/9/2020,1/11/2020,1/18/2020,RECEIVED,,
TX006,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,488.2083036,1/10/2020,1/12/2020,1/19/2020,RECEIVED,,
TX007,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,5.952642366,1/12/2020,1/14/2020,1/21/2020,RECEIVED,,
TX008,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,395.5495485,1/13/2020,1/15/2020,1/22/2020,RECEIVED,,
TX009,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,134.0658133,1/14/2020,1/16/2020,1/23/2020,RECEIVED,,
TX010,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,155.11747,1/15/2020,1/17/2020,1/24/2020,RECEIVED,,
TX011,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,INDIA,327.9626508,1/17/2020,1/19/2020,1/26/2020,RECEIVED,,
TX012,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,MALAYSIA,77.55873499,1/18/2020,1/20/2020,1/27/2020,RECEIVED,,
TX013,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,GRESIK,NETHERLANDS,565.0707835,1/20/2020,1/22/2020,1/29/2020,RECEIVED,,
TX014,KARYAINDAH ALAM SEJAHTERA,UNKNOWN,TANJUNG PERAK,SRI LANKA,6.941368602,1/22/2020,1/24/2020,1/31/2020,RECEIVED,,
