transaction_id,exporter,importer,port,country,volume,created_at,shipped_at,received_at,status,previous_hash,current_hash
TX001,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,INDIA,421.2829102,1/2/2022,1/4/2022,1/12/2022,RECEIVED, , 
TX002,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,NETHERLANDS,601.8070898,1/3/2022,1/5/2022,1/15/2022,RECEIVED, , 
TX003,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,GERMANY,3.567868751,1/5/2022,1/6/2022,1/14/2022,RECEIVED, , 
TX004,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,INDIA,6.243670413,1/4/2022,1/6/2022,1/16/2022,RECEIVED, , 
TX005,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,ITALY,14.27106916,1/6/2022,1/8/2022,1/18/2022,RECEIVED, , 
TX006,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,NETHERLANDS,4.013734605,1/8/2022,1/9/2022,1/17/2022,RECEIVED, , 
TX007,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,GERMANY,5.454299545,1/7/2022,1/9/2022,1/19/2022,RECEIVED, , 
TX008,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,INDIA,9.544871483,1/10/2022,1/11/2022,1/21/2022,RECEIVED, , 
TX009,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,ITALY,21.81657775,1/11/2022,1/13/2022,1/23/2022,RECEIVED, , 
TX010,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,NETHERLANDS,6.135906996,1/12/2022,1/13/2022,1/22/2022,RECEIVED, , 
TX011,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,GERMANY,40.47096948,1/14/2022,1/16/2022,1/26/2022,RECEIVED, , 
TX012,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,INDIA,70.8230634,1/15/2022,1/17/2022,1/28/2022,RECEIVED, , 
TX013,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,ITALY,161.8792743,1/18/2022,1/20/2022,1/30/2022,RECEIVED, , 
TX014,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,NETHERLANDS,45.52850512,1/17/2022,1/18/2022,1/27/2022,RECEIVED, , 
TX015,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,GERMANY,3.762150103,1/19/2022,1/20/2022,1/28/2022,RECEIVED, , 
TX016,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,INDIA,6.58365734,1/20/2022,1/21/2022,1/30/2022,RECEIVED, , 
TX017,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,ITALY,15.04817247,1/22/2022,1/23/2022,2/1/2022,RECEIVED, , 
TX018,PERKEBUNAN NUSANTARA III,CARGILL,DUMAI,NETHERLANDS,4.232294715,1/21/2022,1/23/2022,2/2/2022,RECEIVED, , 
TX019,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,INDIA,748.5062561,1/23/2022,1/25/2022,2/5/2022,RECEIVED, , 
TX020,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,NETHERLANDS,1069.249098,1/25/2022,1/27/2022,2/7/2022,RECEIVED, , 
TX021,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,INDIA,274.3334955,1/26/2022,1/28/2022,2/6/2022,RECEIVED, , 
TX022,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,NETHERLANDS,391.8882977,1/27/2022,1/29/2022,2/8/2022,RECEIVED, , 
TX023,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,INDIA,480.3237886,1/28/2022,1/30/2022,2/10/2022,RECEIVED, , 
TX024,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,NETHERLANDS,686.1476085,1/29/2022,1/31/2022,2/12/2022,RECEIVED, , 
TX025,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,INDIA,88.41052876,1/30/2022,2/1/2022,2/9/2022,RECEIVED, , 
TX026,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,NETHERLANDS,126.2953747,2/1/2022,2/2/2022,2/12/2022,RECEIVED, , 
TX027,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,INDIA,351.8735704,2/2/2022,2/4/2022,2/14/2022,RECEIVED, , 
TX028,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,NETHERLANDS,502.6551142,2/3/2022,2/5/2022,2/16/2022,RECEIVED, , 
TX029,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,INDIA,125.9493666,2/4/2022,2/6/2022,2/15/2022,RECEIVED, , 
TX030,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,NETHERLANDS,179.9200013,2/5/2022,2/7/2022,2/18/2022,RECEIVED, , 
TX031,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,INDIA,94.53413547,2/6/2022,2/8/2022,2/17/2022,RECEIVED, , 
TX032,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,NETHERLANDS,135.0430116,2/7/2022,2/9/2022,2/19/2022,RECEIVED, , 
TX033,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,INDIA,166.1813364,2/8/2022,2/10/2022,2/21/2022,RECEIVED, , 
TX034,PERKEBUNAN NUSANTARA V,CARGILL,DUMAI,NETHERLANDS,237.3917954,2/9/2022,2/11/2022,2/23/2022,RECEIVED, , 
